Título;Año de publicación;Tema;Tags;Sinopsis;Ilustrador;Género ilustrador;Descripción ilustrador;Escritor;Género escritor;Descripción escritor;Editorial;Tipo de editorial;Descripción editorial;Ciudad;Editor;Género editor;Descripción editor
Camila;2006;;;;María Paula Bolaños;Mujer;;María Paula Bolaños@Ivar Da Coll;Mujer@Hombre;;Babel libros;Independiente;;Bogotá;María Osorio;Mujer;
Rana;2006;;;;María Paula Bolaños;Mujer;;María Paula Bolaños;Mujer;;Babel libros;Independiente;;Bogotá;María Osorio;Mujer;
Emiliano;2008;;;;Rafael Yockteng;Hombre;;Jairo Buitrago;Hombre;;Babel libros;Grande;;;;;
Eloísa y los bichos;2009;;;;Rafael Yockteng;Hombre;;Jairo Buitrago;Hombre;;Babel libros;Independiente;;;;;
Jimmy, el más grande;2010;;;;Rafael Yockteng;Hombre;;Jairo Buitrago;Hombre;;Planeta;Grande;;;;;
El primer día;2010;;;;Rafael Yockteng;Hombre;;Jairo Buitrago;Hombre;;Alfaguara infanil y juvenil;Grande;;;;;
León y ratón;2017;;;;Rafael Yockteng;Hombre;;Jairo Buitrago;Hombre;;Cataplúm;Independiente;;;;;
Chigüiro chistoso;2005;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Chigüiro y el lápiz;2005;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Chigüiro y el baño;2005;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Chigüiro encuentra ayuda;2006;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Chigüiro viaja en chiva;2006;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Chigüiro y el palo;2006;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Nano y los muñecos;2008;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Grupo Editorial Norma;Grande;;;;;
Chigüiro, Abo y Ata;2010;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Chigüiro Rana Ratón;2010;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Chigüiro se va;2010;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Tengo miedo;2012;;;;Ivar Da Coll;Hombre;;Ivar Da Coll;Hombre;;Babel libros;Independiente;;;;;
Jacinto y María José;2008;;;;Dipacho;Hombre;;Dipacho;Hombre;;FCE-México;Grande;;;;;
El animal más feroz;2009;;;;Dipacho;Hombre;;Dipacho;Hombre;;Grupo Editorial Norma;Grande;;;;;
Todos se burlan;2009;;;;Dipacho;Hombre;;Dipacho;Hombre;;Grupo Editorial Norma;Grande;;;;;
Dos pajaritos;2010;;;;Dipacho;Hombre;;Dipacho;Hombre;;Lumen;Grande;;;;;
Toro rojo;2016;;;;Dipacho;Hombre;;Dipacho;Hombre;;Milserifas;Independiente;;;;;
Circo de pulgas;2005;;;;Enrique Lara;Hombre;;Enrique Lara;Hombre;;Gatomalo;Independiente;;;;;
Estúpido;2005;;;;Enrique Lara;Hombre;;Enrique Lara;Hombre;;Gatomalo;Independiente;;;;;
Hojas;2005;;;;Enrique Lara;Hombre;;Enrique Lara;Hombre;;Gatomalo;Independiente;;;;;
Me gustan las vacas;2006;;;;Enrique Lara;Hombre;;Enrique Lara;Hombre;;Gatomalo;Independiente;;;;;
Bzzzzzzz...!;2007;;;;Enrique Lara;Hombre;;Enrique Lara;Hombre;;Gatomalo;Independiente;;;;;
Mi casa;2008;;;;Enrique Lara;Hombre;;Enrique Lara;Hombre;;Gatomalo;Independiente;;;;;
